"Specific Term","Generic Term","Associated Meeting","Proposer","Year of Proposal","Discoverer","Year of Discovery","Origin of Name","Additional Information","Coordinates","Secondary Coordinates"
"San Diego","Trough",,,,,,,,"POINT (-117.583333 32.666667)",
"San Feliu","Valley","SCUFN-12",,,,,,"GEBCO-SCFUN/12: change in name from Canyon to Valley. Shown as San Felíu Valley in ACUF Gazetteer.","POINT (3.316667 41.3)",
"San José","Canyon",,,,,,,,"POINT (-109.833333 22.75)",
"San Juan","Seamount",,,,,,,,"POINT (-121 33.033333)",
"San Juan","Canyon",,"Troy L. Holcombe, National Geophysical Data Center (NGDC), USA",,,,,"Position revised at GEBCO-SCGN/9. The canyon is right of the coast from San Juan.","LINESTRING (-66.05 18.516667, -66.05 18.866667)",
"San Lorenzo","Canyon",,,,,,,,"POINT (9.783333 39.5)",
"San Martin","Canyon","SCUFN-25",,,,,,,"LINESTRING (-48.8152220967591 -68.1141127318088, -48.0294151107988 -67.4950336948721, -47.6022237937821 -67.2435357712517, -45.0602671234771 -66.4185750869891, -43.0166666666666 -65.6666666666666)",
"San Martin","Seamounts",,,,,,,,"POINT (-95 -58.5)",
"San Nicolas","Basin",,,,,,,,"POINT (-119.083333 33.05)",
"San Pablo","Canyon",,,,,,,,"POINT (-114.583333 27.25)",
"San Pedro Mártir","Basin",,,,,,,,"POINT (-112.5 28.333333)",
"San Quintín","Basin",,,,,,,,"POINT (-116.666667 30)",
"San Salvador","Ridge",,"Troy L. Holcombe, National Geophysical Data Center (NGDC), USA",,,,"The feature is located close to San Salvador Island.",,"LINESTRING (-74.366667 24.5, -74.5 24, -74.216667 23.4)",
"San Vito","Canyon",,,,,,,,"POINT (12.916667 38.316667)",
"Sanae","Bank","SCUFN-12","Heinrich Hinze, Alfred-Wegener Institute for Polar and Marine Research (AWI), Germany",,,,"Name taken from the closely located South African research station ""Sanae.""","Depth range: 200-400 m.","POINT (-3 -70.3)",
"Sanae","Canyon",,,,,,,,"LINESTRING (-4.2617 -69.945, -3.6767 -69.665, -3.245 -68.475, -2.145 -68.1917, -2.7383 -66.715)",
"Sanak","Bank",,,,,,,,"POINT (-162 54.266667)",
"Sanders","Seamount",,,,,,,,"POINT (1.916667 -52.583333)",
"Sandile","Seamount","SCUFN-13","Prof. C. Hartnady, South Africa",,,,"Named after a great Xhosa tribal chief.",,"POINT (11.2 -47.583333)",
"Sangage","Canyon","SCUFN-16","Jean-René Vanney, University of Paris IV, France",,,,"Named after Sangage, the nearest locality on the Mozambican coast.",,"POINT (40.233333 -16.133333)",
"Sanguma","Seamount","SCUFN-13","Ray A. Binns, Commonwealth Scientific and Industrial Research Organisation (CSIRO),  Australia","1998","R/V Franklin","1993","""Sanguma"" is the Papua-New Guinea pidgin word for ""ghost"".",,"POINT (154.019769694599 -5.5573373582569)",
"Sanju","Seamount","SCUFN-24","Japanese Committee on Undersea Feature Names",,"Japanese survey vessel ""Takuyo""",,"Proposer: Japanese Committee on Undersea Feature Names (JCUFN), c/o JHOD, 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan (ohara@jodc.go.jp)
Date of Proposal: August 2011
Discoverer: Japanese S/V Takuyo
Date of Discovery: June 2001

This name is relevant to Japan¿s traditional paraphrase for commemorative old ages. Sanju is the Japanese term for ""80th birthday"".","Position: Philippine Sea, Northwestern Pacific Ocean
Minimum Depth: 2300 m
Maximum Depth: 5200 m
Total Relief: 2900 m
Dimension/Size: Conical shape with diameter 
of 18 km

Revised coordinates accepted at SCUFN-24 (2011).","POLYGON ((134.1 24.917, 134.15 24.967, 134.15 25.05, 134.067 25.1, 134 25.033, 134 24.967, 134.1 24.917))",
"Sanpuku","Seamount",,,,,,,,"POINT (142.666667 22.866667)",
"Santa Catarina","Plateau","SCUFN-23","Brazilian Navy Hydrographic Center of the Brazilian Hydrographic Office (DHN)",,"Brazilian survey vessel ""Almirante Câmara""",,"Named from the nearby Brazilian State of Santa Catarina.","Minimum depth: 3250 m; Maximum depth: 3950 m; Total relief: 700 m; Dimension/Size: ~340 km x 150 km, with an elliptical shape.","POINT (-44.3668333333 -30.67616666667)",
"Santa Cruz","Basin",,,,,,,,"POINT (-119.55 33.666667)",
"Santa Lucia","Bank",,,,,,,,"POINT (9.466667 43.583333)",
"Santa Lucia","Escarpment",,,,,,,,"POINT (-121.7 34.5)",
"Santa Lucia","Bank",,,,,,,,"POINT (-121.4 34.833333)",
"Santa Maria","Hills","SCUFN-14","Jean-René Vanney, University of Paris IV, France; and Portuguese Hydrographic Office (Instituto Hidrografico)",,,,"Named after the nearby Santa Maria Island (Eastern Azores Group).","Minor elevations, with one ""seamount"" (1000-1100 m) on small rise of intermediate depth (about 1600 m). Named by Laughton et al. 1975. Shown as Santa Maria Ridge in ACUF Gazetteer.","LINESTRING (-27.5833 37, -26.8667 36.9, -26.3167 36.8)",
"Santa Monica","Canyon",,,,,,,,"POINT (-118.633333 33.916667)",
"Santander","Canyon",,,,,,,"Bay of Biscay.","POINT (-3.633333 44)",
"São Gabriel","Valley","SCUFN-13","Jean-René Vanney, University of Paris IV, France",,,,"Named after one of Vasco da Gama's ship.",,"LINESTRING (-11.1667 40.9167, -11.1794 40.9898, -11.1962 41.076, -11.1887 41.1733, -11.1529 41.2545, -11.1458 41.3521, -11.1253 41.4153, -11.0656 41.4742, -11.0227 41.5345, -11 41.6)",
"São Luís ","Guyot","SCUFN-26","Brazilian Hydrographic Office (DHN), Directorate of Hydrography and Navigation, Barão de Jaceguay Street, Ponta da Armação, Niterói, 24.048-900 Rio de Janeiro, Brazil","2013","Brazilian survey vessel ""Almirante Câmara""","1989","The name São Luís Guyot is well known since the 1980´s and has been mentioned in many scientific papers and publications, for instance for LEPLAC (Brazilian Continental Shelf Project). This feature is located offshore the Brazilian city of São Luís. ","The feature is part of the Maranhao Seamounts. ","POINT (-42.122 -0.7263)","POLYGON ((-42.2838 -0.5612, -42.2772 -0.55, -42.3153 -0.62, -42.3238 -0.6605, -42.3142 -0.6963, -42.2493 -0.7905, -42.16 -0.8733, -42.0537 -0.9062, -41.9603 -0.8778, -41.8975 -0.8167, -41.8562 -0.7313, -41.8572 -0.6517, -41.8975 -0.5828, -41.9755 -0.5413, -42.0233 -0.4955, -42.1013 -0.442, -42.1558 -0.4408, -42.2208 -0.468, -42.2653 -0.5108, -42.2838 -0.5612))"
"São Miguel","Hole","SCUFN-14","Jean-René Vanney, University of Paris IV, France; and Portuguese Hydrographic Office (Instituto Hidrografico)",,,,"Named after the nearby São Miguel Island, Azores. Taken from Searle R. 1980: Tectonic pattern of the Azores spreading centre and triple junction. Earth and Planetary Science Letters, 51:415-434 (fig.1, p. 416).","Small, well-bounded. About 1000 m relief.","LINESTRING (-25.1333 37.6833, -24.85 37.6, -24.7167 37.35)",
"São Paulo","Channel",,,,,,,,"POINT (-40.5 -28.5)",
"São Paulo","Plateau","SCUFN-23",,,,,,,"POINT (-42.5 -26.5)",
"São Paulo ","Escarpment","SCUFN-26","Brazilian Hydrographic Office (DHN), Directorate of Hydrography and Navigation, Barão de Jaceguay Street, Ponta da Armação, Niterói, 24.048-900 Rio de Janeiro, Brazil","2013","Not provided",,"The name São Paulo Escarpment is well known since the 1970´s and has been mentioned in many scientific papers and publications, for instance for the REMAC Project - Geomorphology of the Brazilian Continental Margin and adjacent oceanic areas. This feature is the marginal escarpment of the São Paulo Plateau. ",,"POINT (-41.0638 -28.3903)","LINESTRING (-42.915 -28.433, -42.6493 -28.6892, -42.4392 -28.7383, -41.9825 -28.5747, -41.8587 -28.4763, -41.4075 -28.4603, -40.6787 -28.3347, -40.0178 -28.2362)"
"São Paulo ","Ridge","SCUFN-26","Brazilian Hydrographic Office (DHN), Directorate of Hydrography and Navigation, Barão de Jaceguay Street, Ponta da Armação, Niterói, 24.048-900 Rio de Janeiro, Brazil","2013","Not provided",,"The name São Paulo Ridge is known since the 1970´s and has been mentioned in many scientific papers and publications, for instance the REMAC Project - Geomorphology of the Brazilian Continental Margin and adjacent oceanic areas. This feature is located over the São Paulo Plateau",,"POINT (-41.2183 -28.3025)","LINESTRING (-42.5628 -28.5147, -41.7103 -28.3728, -40.6725 -28.2197, -40.0425 -28.143)"
"São Pedro","Canyon","SCUFN-15","André Roubertou, French Hydrographic Office (SHOM)",,,,"This name was given from the nearby coastal town of São Pedro de Muelo.",,"LINESTRING (-10.583333 39.95, -10 39.833333, -9.616667 39.733333)",
"São Rafael","Canyon","SCUFN-13","Jean-René Vanney, University of Paris IV, France",,,,"Named after one of Vasco da Gama's ships.",,"LINESTRING (-11.83333 40.950001, -11.8024354 41.0081982, -11.7688586 41.0632836, -11.7408782 41.1183224, -11.7259552 41.1719054, -11.7166284 41.2310772, -11.73333 41.333328)",
"São Tomé","Seamount","SCUFN-22","Brazilian Navy Hydrographic Center of the Brazilian Hydrographic Office (DHN)",,"Russian research vessel ""Ivan Kireev""",,"Named from the nearby São Tomé Cape, on the coast of the Brazilian State of Rio de Janeiro.","Minimum depth: 1350 m; Maximum depth: 4150 m; Total relief: 2800 m; Dimension/Size: ~ 37 km x 42 km, with a conical shape. Isolated seamount south of Vitoria-Trinidade Ridge.","POINT (-36.63883333 -21.97883333)",
"São Vicente","Canyon","SCUFN-25","Jean-René Vanney, University of Paris IV, France",,,,,"The position of this name on IBCEA Sheet 1.01 should be impoved. Feature previously updated at SCUFN-13.","LINESTRING (-9.99999999999997 36.25, -9.88637498604384 36.3578473355156, -9.82101306094937 36.4773870162942, -9.82398405754461 36.6372814959675, -9.7497091426646 36.7063868994711, -9.73188316309334 36.7873279599692, -9.68434721757013 36.8301445360321, -9.56253635716687 36.8610527249944, -9.45558047973964 36.9347064330136, -9.33674061593162 36.9893067839538, -9.22978473850439 37.0794302407892, -9.16666666666661 37.25)",
"Sapmer","Seamount",,"Marcel Barbarin, French fishery company ""Sapmer""",,"French fishing vessel ""Sapmer""",,"The name of the vessel that identified and signaled the feature to the Service Hydrographique et Océanographique de la Marine (France), SHOM.","Minimum depth: 200 m; Total relief: 1600 m. The seamount is located in the central part of the Southwest Indian Ridge near the Gallieni Fracture Zone among depths of 1600-2000 m. It is irregular in shape, with dissected slopes and an oval shape within the depth contour of 250 m. The size of the seamount foot within the depth contour of 1500 m is 30x16 km. The steepness of the slopes varies from 45° to 6°. The east slope descends abruptly to 5980 m.","POINT (52.125 -36.826667)",
"Sardinia","Knoll","SCUFN-12",,,,,,"Formerly, Sardinia Seamount. Shown as Sardinia Seamount in ACUF Gazetteer.","POINT (10.166667 39.983333)",
"Sardinia-Corsica","Trough",,,,,,,,"POINT (10.583333 41)",
"Sardino-Balearic","Plain",,,,,,,"Formerly, Sardino-Balearic Abyssal Plain.","LINESTRING (5 37.5, 7.666667 40.5)",
"Sarmiento","Ridge",,,,,,,,"POINT (-82.666667 -5.666667)",
"Sars","Seamount",,,,,,,,"POINT (-68.859924315816 -59.7056936457823)",
"Satsuki","Seamount","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"""Satsuki"" means May in Japanese.","Relief: 2800 m; Least depth: 2100 m. Taken from Japanese Bathymetric Chart No. 6722.","POINT (134.725 23.52)",
"Satsuma","Seamount","SCUFN-23","Japanese Committee on Undersea Feature Names (JCUFN) and Japan Hydrographic and Oceanographic Department (JHOD)",,"Japanese survey vessel ""Takuyo""",,"In the ancient times, ""Satsuma"" was the name of a district in Kyushu Island, one of the mainlands of Japan.","Minimum depth: 3350 m; Maximum depth: 4750 m; Total relief: 1400 m; Dimension/Size: 25 km x 25 km. Taken from Japanese Bathymetric Chart No. 6725. ","LINESTRING (134.1666667 27.07166667, 134.2416667 27.12666667)",
"Sauerwein","Seamount","SCUFN-14","Jean-René Vanney, University of Paris IV, France; and Portuguese Hydrographic Office (Instituto Hidrografico)",,,,"Named after Charles Sauerwein (French naval Officer (1876-1913), aide-de-camp to Prince Albert 1er of Monaco. He participated in Prince Albert's campaigns in the Azores on board ""L'Hirondelle"" (1902-1905) and assisted with the compilation of the 1st Edition of GEBCO (1905).","Relief: >2000 m. Isolated.","POINT (-26.083333 37.1)",
"Saunders","Bank",,,,,,,"Formerly, Saunders Basin. Shown as Saunders Basin in ACUF Gazetteer.","POINT (-155 -76.833333)",
"Saury","Seamount",,,,,,,,"POINT (-80.916667 12.5)",
"Savage","Seamount","SCUFN-11",,,,,"Origin of name unknown.","Taken from NZOI Bathymetric map ""Tonga."" Relief: 2700 m.","POINT (169.25 -18.466667)",
"Savel'ev","Seamount","SCUFN-14","Galina V. Agapova, Geological Institute of the Russian Academy of Sciences (GIN RAS)",,,,"Named after the Russian geologist from the Geological Institute RAS, Ph. D. A. A Savel'ev (1936-2000) who studied the oceanic lithospere.","Relief: 1800 m; Least depth: 1733 m.","POINT (-33.813333 6.956667)",
"Savu","Basin",,,,,,,,"POINT (122.75 -9.5)",
"Sawa","Seamount","SCUFN-15","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"Named after the Japanese geologist T. Sawa, who was the Director of the Geological Survey of Japan.","Relief: 2000 m; Least depth: 921 m.","POINT (140.433333 27.666667)",
"Saxton","Seamount",,,,,,,,"POINT (-157.548065185362 47.416729201571)",
"Saya de Malha","Bank",,,,,,"The bank was named by Portuguese explorers 500 years ago, who encountered the bank on the voyage between the Cape of Good Hope and India.","This feature is the largest submerged bank in the world.","LINESTRING (60.166672 -8.33333, 60.1851994 -8.65133179999999, 60.1851994 -8.91046679999999, 60.1670254 -9.1754356, 60.1185614 -9.42817359999999, 59.9974014 -9.6266224, 59.9913434 -9.8129362, 60.1791414 -10.0711958, 60.3790552 -10.299251, 60.6092592 -10.503159, 60.857637 -10.7189132, 61.124189 -10.922538, 61.3665088 -11.1020898, 61.5845968 -11.1978052, 61.833328 -11.25)",
"Scarlatti","Seamount",,,,,,"One of Musicians Seamount group in North Central Pacific (SIO, 1959).",,"POINT (-160.236267089337 27.6349176008577)",
"Schaefer","Seamount",,,,,,,,"POINT (-132.438826496957 43.0190799043049)",
"Schjetman","Reef",,,,,,,,"POINT (-178.95 16.133333)",
"Schlanger","Seamount","SCUFN-10","Edward Winterer, Scripps Institution of Oceanography (SIO), USA","1992",,,"Named after the U.S. field geologist Seymour Schlanger.",,"POINT (-155.830149333096 -2.8360765538558)",
"Schlich","Seamount","SCUFN-12","Robert L. Fisher, Scripps Institution of Oceanography (SIO), USA",,"French research and supply vessel ""Marion Dufresne""",,"Named after Dr. Roland Schlich, a world-class marine geophysicist with 30-35 years of field experience in the Indian Ocean. He was chief scientist aboard R/V Marion Dufresne in 1983 when this feature was discovered. Dr. Roland Schlich, retiring Director, Institut de Physique du Globe de Strasbourg, France, has been one of France's premier marine scientists for more than 30 years. A physicist, he spent nearly a year on Kerguelen making post-IGY magnetic observations. Since 1965, Schlich has organized, led, and published results of, more than a score of complex geophysical expeditions in the western and central south Indian Ocean, notably aboard Gallieni, Marion Dufresne, Glomar Challenger and Joides Resolution.","Least depth: 428 m. Relief about 3450 m.","POINT (82.353333 -32.505)",
"Schmitt-Ott","Seamount",,,,,,,"Shown as Schmidt-Ott Seamount in the ACUF Gazetteer.","POINT (13.8129268931558 -39.2693108688649)",
"Scholl","Deep","SCUFN-18",,,,,"Named for David W. Scholl, geologist at U.S. Geological Survey, Menlo Park, USA.","Shown on NIWA 1:1,000,000 Esperance sheet. A N-S aligned approx. 2 km long narrow depression in the central Kermadec Trench. The bottom of the feature is at 10,000 m and rises to 8000 m before the sides broaden and flatten out. Maximum depth: >10,000 m.","POINT (-177.3 -31.966666667)",
"Schoppe","Ridge",,,,,,,,"POINT (-139.5 51.166667)",
"Schott","Seamount",,,,,,,,"POINT (-155.788389079192 48.689904270247)",
"Schrick","Knoll","SCUFN-19","Heinrich Hinze, Alfred-Wegener Institute for Polar and Marine Research (AWI), Germany",,"German research vessel ""Polarstern""",,"Named after Dr. Karl Wilhelm Schrick (1921-), a professional hydrographer and director of hydrography and data processing for the German Hydrographic Office in Hamburg, Germany.","Minimum depth: 2020 m; Total relief: 730 m. The feature is round in shape and about 3.5 km in diameter.","POINT (-42.6516666667 -55.3725)",
"Schubert","Seamount",,,,,,"One of Musicians seamount group in North Central Pacific (SIO, 1959).",,"POINT (-162.15 31.933333)",
"Schulz","Bank",,,,,,,,"POINT (7.5 73.866667)",
"Schumann","Seamount",,,,,,"One of Musicians seamount group in North Central Pacific (SIO, 1959).",,"POINT (-160.183333 25.7)",
"Schwabenland","Canyon",,,,,,,,"POINT (18 -66.583333)",
"Schwabenland","Seamount",,,,,,,,"POINT (0.114481607930287 -45.9159871187728)",
"Scotia","Bank","SCUFN-12","Heinrich Hinze, Alfred-Wegener Institute for Polar and Marine Research (AWI), Germany",,,,"Named after the W S Bruce expedition sailing vessel Scotia. This feature exists at approximately the southernmost position reached by the expedition in March 1904.","Least depth: 300 m.","POINT (-22.5 -74)",
"Scott","Canyon",,,,,,"Named after Captain Robert Falcon Scott, British Antarctic Explorer who lost his life on the return journey from the South Pole, 1913.",,"POINT (179 -71.583333)",
"Scott","Shoal",,,,,,"Named after Captain Robert Falcon Scott, British Antarctic Explorer who lost his life on the return journey from the South Pole, 1913.",,"POINT (177.75 -73.233333)",
"Scott","Seamounts",,,,,,"Named after Captain Robert Falcon Scott, British Antarctic Explorer who lost his life on the return journey from the South Pole, 1913.",,"POINT (-179.833333 -68)",
"Scott","Seamount",,,,,,"Named after Captain Robert Falcon Scott, British Antarctic Explorer who lost his life on the return journey from the South Pole, 1913.",,"POINT (-141.333333 50.416667)",
"Scott","Seachannel",,,,,,"Named after Captain Robert Falcon Scott, British Antarctic Explorer who lost his life on the return journey from the South Pole, 1913.",,"POINT (-133 49.916667)",
"Scripps","Guyot",,,,,,,,"POINT (159.383333 23.833333)",
"Sculpin","Ridge",,"Jacqueline Mammerickx, Scripps Institution of Oceanography (SIO), USA",,,,"Named from the fish of same name. Sculpins are numerous in this area.",,"LINESTRING (-169 18, -168.5366 17.2583, -168.148 16.6339, -167.8167 16.1, -166.9845828125 15.2255375, -166.61431796875 14.99822734375, -165.9333 14.35, -165.4646 13.5488, -165 13)",
"Scuso","Bank",,,,,,,,"POINT (12.533333 38.25)",
"Seadragon","Ridge",,,,,,,,"POINT (-158.75 12.5)",
"Seagull","Shoal",,,,,,,"This feature is located on SW edge of Seychelles Bank.","POINT (54.166667 -4.75)",
"Seal","Canyon",,"J. J. Doyle, Australian Hydrographic Service (AHS)",,,,"Named after the nearby Seal Bay.","Taken from the AGSO Bathymetric Map ""Ceduna.""","LINESTRING (137.166667 -37.416667, 137.416667 -36.833333)",
"Sealark","Fracture Zone",,"Robert L. Fisher, Scripps Institution of Oceanography (SIO), USA",,"British survey vessel HMS ""Sealark""",,"HMS Sealark (Captain Boyle Somerville) carried out Percy Sladen Trust investigations of northwest Indian ocean coral atolls and banks about 1905.",,"LINESTRING (69.5 -2.5, 68.583333 -3.666667, 65 -7)",
"Seamap","Seachannel",,,,,,,,"POINT (-162.333333 51.75)",
"Secchi","Seamount",,,,,,,,"POINT (11.7 40.45)",
"Sedlo","Seamount",,"Russian Federal Research Institute of Fisheries and Oceanography (VNIRO), VNIRO, 17 V. Krasnoselskaya St., Moscow 107140, Russian Federation",,"Russian Fishery  R/V Atlant",,"Named from its shape which resembles a saddle (""sedlo"" in Russian).","Minimum depth: 667 m.","POINT (-26.923333 40.423333)",
"Sedna","Ridges",,,,,,,,"POINT (-143.266667 47.5)",
"Segundo","Seamount",,,,,,,,"POINT (-164.928598647146 12.9719003369305)",
"Sein","Canyon","SCUFN-14","R. Le Suavé & J.-F. Bourillet, IFREMER, France",,,,"Sein is the name of an island located west of Brittany.",,"LINESTRING (-5.943333 47.233333, -6.21 46.978333)",
"Seine","Seamount",,,,,,,,"POINT (-14.333333 33.833333)",
"Seine","Abyssal Plain",,,,,,,"Shown as Seine Plain in the ACUF Gazetteer.","POINT (-12.5 34)",
"Selfridge","Bank",,,,,,,,"POINT (157.083333 -20.916667)",
"Selkirk","Rise",,,,,,"Named after the Scottish sailor Alexander Selkirk (1676-1721) who lived alone on the nearby Isla Juan Fernandez for four years (supposed model for Daniel Defoe's Robinson Crusoe).",,"POINT (-81.25 -38)",
"Seminole","Seamount",,,,,,,,"POINT (-129.778401691835 49.7560213625207)",
"Sen'ko","Valley","SCUFN-16","Garrik E. Grikurov, All-Russia Research Institute for Geology and Mineral Resources of the World Ocean (VNIIOkeangeologia)",,"USSR Northern Fleet Hydrographic Expedition",,"Named after Pavel Kononovich Sen'ko (1916-2000). He participated in many arctic expeditions and air expeditions in the high latitudes. He took part in the ""Sever-2"" expedition, which resulted in his name appearing in the Guinness Book of Records. In 1967-1968 he led the Russian Arctic and Antarctic Research Institute. He published more than 20 scientific papers, in particular on the study of the Earth magnetic field in polar regions.",,"LINESTRING (-97 87.066667, -101.166667 87.75)",
"Sen'kov ","Seamount","SCUFN-26","State Scientific Centre ""Yuzhmorgeologiya"" (V.V. Krugliakov, M.E. Melnikov), State Scientific Centre ""Yuzhmorgeologiya"", 20, Krymskaya St., Gelendzhik 353461, Russia","2013","Russian Research Vessel ""Gelendzhik""","1999","Named after K.N. Sen'kov (1962-2008), a leading Russian geophysicist and a specialist in the study of sedimentary rocks of the Pacific Ocean, including the Clarion-Clipperton ferromanganese nodules province. K.N. Sen'kov participated in five oceanic expeditions in the Pacific Ocean in the Clarion-Clipperton province. He developed a new approach to the processing and interpretation of seismic data. ","Steepness of up to 38° and an elongated meridional axis.","POINT (-142.8532 11.3687)",
"Senchura","Spur","SCUFN-23","Department of Navigation and Oceanography, Ministry of Defence, Russia",,"USSR Northern Fleet Hydrographic Expedition",,"Named after Captain 1st rank Leonid Ivanovich Senchura (1919-2008), a Russian hydrographer. From 1941 to 1966 he was involved in planning researches in the Arctic ocean by the Northern hydrographic expedition; he developed new methods of research and led the expeditions that explored in detail Lomonosov Ridge and Gakkel Ridge. In 1966 the USSR Hydrographic Society awarded the Gold Medal and Prize of F .P. Litke to L. I. Senchura for his development of new methods of research and mapping. He was elected honourable member of the USSR Geographic Society and worked there for many years as academic secretary.","Minimum depth: 1082 m; Maximum depth: 2000 m; Total relief: ~1000 m; Dimension/Size: 18 km x 100 km.","LINESTRING (154.8666667 84.7083333333, 150.75 83.33333333)",
"Senghor","Seamount",,,,,,,"Source: Woods Hole Oceanographic Institution.","POINT (-21.916667 17.166667)",
"Sengteller","Seamount",,,,,,,,"POINT (-157.75 49.833333)",
"Senshu","Guyot","SCUFN-15","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"Named after the Japanese warship Senshu (19th Century). She accompanied the Japanese warship Kanrin in her first friendship visit to the USA.","Relief: 2100 m; Least depth: 4100 m.","POINT (146.261667 26.35)",
"Sentinelle","Bank",,,,,,,"Shown as ""Banc de la Sentinelle"" in the ACUF Gazetteer.","POINT (9.683333 38.05)",
"Seram","Trough",,,,,,,"Shown as Ceram in ACUF Gazetteer.","POINT (131.333333 -3)",
"Serendip","Seamount",,"Robert L. Fisher, Scripps Institution of Oceanography (SIO), USA",,,,"Named after Serendip (or Serendib), a legendary island visited by Sind'bad and also an obsolete name for Ceylan, now Sri Lanka.","Formerly, listed as Sarandib Seamount.","POINT (54.716667 8.283333)",
"Sergey Vavilov","Seamount",,"O. M. Mihailov, Institute of Oceanology of the Russian Academy of Sciences (IO RAS)",,"Russian research vessel ""Sergey Vavilov""",,"Named after Russian R/V Sergey Vavilov that discovered this feature.","Shown as ""Vavilov"" in ACUF Gazetteer.","POINT (12.583333 39.85)",
"Seri","Seamount","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"""Seri"" is the Japanese term for ""dropwort.""","Relief: 3200 m; Least depth: 2490 m.","POINT (149.611667 25.838333)",
"Sermilik","Deep",,,,,,,"Shown as Sermilik Valley in the ACUF Gazetteer.","POINT (-38.083333 64.666667)",
"Serrana","Bank",,,,,,,,"POINT (-80.2 14.383333)",
"Serranilla","Gap","SCUFN-11","Colombian Hydrographic Office (CIOH), Centro Investigaciones Oceanográficas e Hidrográficas Caribe",,,,"This feature is close to the Serranilla Bank.",,"POINT (-80.15 16.166667)",
"Serranilla","Bank",,,,"Colombian Hydrographic Office (CIOH), Centro Investigaciones Oceanográficas e Hidrográficas Caribe",,,,"POINT (-79.833333 15.833333)",
"Sesostris","Bank",,,,,,,,"POINT (72 13.083333)",
"Sète","Canyon",,,,,,,,"POINT (4.216667 42.666667)",
"Setúbal","Canyon","SCUFN-13","Jean-René Vanney, University of Paris IV, France",,,,"Named after the nearby port and bay of Setúbal.",,"LINESTRING (-10.3333 38.1333, -10.2655 38.117, -10.1664 38.1022, -10.0879 38.1022, -9.9963 38.1008, -9.8991 38.0949, -9.8202 38.0799, -9.75 38.0667, -9.6879 38.0742, -9.6748 38.1082, -9.6393 38.1406, -9.587 38.1436, -9.5403 38.1524, -9.5197 38.1775, -9.4991 38.2026, -9.4618 38.2365, -9.4281 38.2336, -9.3926 38.2439, -9.359 38.2822, -9.3291 38.2984, -9.2674 38.2866, -9.2001 38.2763, -9.1422 38.2822, -9.0861 38.2955, -9.0375 38.2793, -8.9908 38.2748, -8.9497 38.2748, -8.9123 38.2925, -8.85 38.3)",
"Sever","Spur","SCGN-7","HIIGA, Russia","1985","Russian Drift Ice Expedition ""Sever""","1966","Named from the high latitude Russian expedition ""Sever"" (1966).",,"LINESTRING (-120.02596352743 79.3704895927656, -124.863991782181 79.7692695452715, -126.159892207561 80.6711419212243)",
"Sewell","Rise","SCUFN-11","Robert L. Fisher, Scripps Institution of Oceanography (SIO), USA",,"Research vessels of the International Indian Ocean Expedition (IIOE)",,"R. B. Seymour Sewell (UK) worked in this region in 1915-1930. Author of ""The Geography of the Andaman Sea Basin,"" Memoirs Asiatic Soc. Bengal. vol. 9 Pt. I, 1925, and other papers.",,"POINT (94.75 9.416667)",
"Seychelles","Bank",,,,,,,,"POINT (56 -5)",
"Seymour Sewell","Seamount",,"Robert L. Fisher, Scripps Institution of Oceanography (SIO), USA",,"U.S. research vessel ""Robert D. Conrad""",,"Named after R. B. Seymour Sewell, long Director of the Geological Survey of India, who was leader of the John Murray Expedition Aboard M/V ""Mabahiss,"" 1933-1934.",,"POINT (65.723333 -2.963333)",
"Shackleton","Canyon",,,,,,"Named after Sir Ernest Shackleton (1874-1922), arguably the greatest British Antarctic Explorer of all time.",,"POINT (-166 -75.25)",
"Shackleton","Fracture Zone",,,,,,"Named after Sir Ernest Shackleton (1874-1922), arguably the greatest British Antarctic Explorer of all time.",,"LINESTRING (-61 -59, -56.5 -60.666667)",
"Shackleton","Seamount",,"Eric S. W. Simpson and E. Forder, University of Cape Town, South Africa; and J. K. Mallory, South African Navy Hydrographic Office (SANHO)","1964",,,"Named after Sir Ernest Shackleton (1874-1922), arguably the greatest British Antarctic Explorer of all time.",,"POINT (22.8012972931477 -36.983095862275)",
